feature,coefficient,abs_coefficient
cat__category_sports,-0.2677487412022564,0.2677487412022564
cat__subcategory_newsoffbeat,-0.26561248182862707,0.26561248182862707
cat__subcategory_lifestylebeauty,-0.2652697777774307,0.2652697777774307
cat__subcategory_entertainment-celebrity,0.2647920491509043,0.2647920491509043
cat__subcategory_football_ncaa_videos,-0.2514064820451417,0.2514064820451417
cat__subcategory_lifestylebuzz,0.2497410484402761,0.2497410484402761
cat__subcategory_awardstyle,-0.24887423320013796,0.24887423320013796
cat__subcategory_icehockey_nhl,-0.24253025861830993,0.24253025861830993
cat__subcategory_finance-healthcare,-0.24220277903034396,0.24220277903034396
cat__subcategory_lifestyleparenting,-0.24118732626401537,0.24118732626401537
cat__subcategory_quickandeasy,0.23372325215069029,0.23372325215069029
cat__subcategory_tv-recaps,-0.23064323871214706,0.23064323871214706
cat__subcategory_finance-saving-investing,0.2269366948998202,0.2269366948998202
cat__subcategory_lifestyle,-0.22250290999291344,0.22250290999291344
cat__subcategory_lifestylecareer,-0.2136711247202556,0.2136711247202556
cat__subcategory_factcheck,-0.20790838658107846,0.20790838658107846
cat__subcategory_basketball_nba,-0.20319936277180786,0.20319936277180786
cat__subcategory_lifestylefamilyandrelationships,-0.20178732831830548,0.20178732831830548
cat__subcategory_finance-top-stocks,-0.197563232423772,0.197563232423772
cat__subcategory_travel-points-rewards,-0.19446065915533725,0.19446065915533725
cat__subcategory_newsbusiness,-0.19410524110264404,0.19410524110264404
cat__subcategory_lifestyleroyals,0.19347345427954699,0.19347345427954699
cat__subcategory_beverages,0.19273504113042003,0.19273504113042003
cat__category_lifestyle,-0.19222496067067135,0.19222496067067135
num__title_char_count,0.19090361984764007,0.19090361984764007
cat__subcategory_celebhub,-0.1860739784720091,0.1860739784720091
cat__subcategory_viral,0.18179343606125048,0.18179343606125048
cat__subcategory_autoshybrids,-0.17646267519617512,0.17646267519617512
cat__subcategory_finance-retirement,0.1757902883688893,0.1757902883688893
cat__subcategory_nutrition,-0.1757861139929811,0.1757861139929811
cat__category_weather,0.17480985642519567,0.17480985642519567
cat__subcategory_weathertopstories,0.17480985642519567,0.17480985642519567
cat__subcategory_autosresearchguides,-0.16967370585989516,0.16967370585989516
cat__subcategory_lifestylepetsanimals,0.16783215264036974,0.16783215264036974
num__same_category_ratio,0.1675773067446734,0.1675773067446734
cat__subcategory_autosluxury,-0.1614182062948595,0.1614182062948595
cat__category_tv,0.15925015533572517,0.15925015533572517
cat__subcategory_autossuvs,-0.15555835651853825,0.15555835651853825
cat__subcategory_music-grammys,-0.15342108295611898,0.15342108295611898
cat__subcategory_cma-awards,-0.14863021927825365,0.14863021927825365
cat__subcategory_autosbuying,-0.1469795838165391,0.1469795838165391
cat__subcategory_newselection2020,-0.14462331672760595,0.14462331672760595
cat__subcategory_autosenthusiasts,0.14459324296745402,0.14459324296745402
cat__category_health,-0.14266536586982242,0.14266536586982242
cat__subcategory_wellness,-0.13909390684078884,0.13909390684078884
cat__subcategory_peopleandplaces,-0.1347869380502266,0.1347869380502266
num__same_subcategory_ratio,0.12908077377657742,0.12908077377657742
cat__subcategory_finance-career,-0.12638334035758128,0.12638334035758128
cat__subcategory_lifestylehomeandgarden,-0.12491947503494932,0.12491947503494932
cat__subcategory_lifestylecleaningandorganizing,-0.12269834505391479,0.12269834505391479
cat__subcategory_finance-taxes,0.12204213744968352,0.12204213744968352
cat__subcategory_finance-video,-0.11993104273799848,0.11993104273799848
cat__subcategory_finance-billstopay,-0.11940528375647617,0.11940528375647617
cat__subcategory_musicvideos,-0.11470933000864712,0.11470933000864712
cat__subcategory_markets,-0.11331964737268167,0.11331964737268167
cat__subcategory_lifestylesmartliving,0.1130133203711077,0.1130133203711077
cat__subcategory_newsscienceandtechnology,-0.11229293936207985,0.11229293936207985
cat__subcategory_finance-credit,-0.10982078197284241,0.10982078197284241
cat__subcategory_newsworld,-0.10970896694758608,0.10970896694758608
cat__subcategory_finance-real-estate,-0.10775793817914014,0.10775793817914014
cat__subcategory_baseball_mlb,-0.10521573482919722,0.10521573482919722
cat__subcategory_lifestylepets,0.10496246295697848,0.10496246295697848
num__title_word_count,-0.10476128159440769,0.10476128159440769
num__history_unique_len,0.10093460826061856,0.10093460826061856
cat__subcategory_health-news,0.10033450003751304,0.10033450003751304
cat__subcategory_voices,0.10000120765890017,0.10000120765890017
cat__subcategory_finance-insurance,-0.09740239101036079,0.09740239101036079
cat__subcategory_autossports,-0.09712119050142694,0.09712119050142694
cat__subcategory_shop-holidays,-0.09373314357594562,0.09373314357594562
cat__subcategory_medical,-0.09308560788573544,0.09308560788573544
cat__subcategory_mma,0.09296466879874572,0.09296466879874572
cat__subcategory_weightloss,0.09208524094456531,0.09208524094456531
cat__subcategory_autosresearch,-0.09186885583142718,0.09186885583142718
cat__subcategory_lifestylemindandsoul,-0.08738983923531769,0.08738983923531769
cat__subcategory_newspolitics,-0.08710572877740283,0.08710572877740283
cat__subcategory_news,-0.08697610694557409,0.08697610694557409
cat__subcategory_foodanddrink,-0.08656945213808857,0.08656945213808857
cat__subcategory_lifestyledidyouknow,0.08474823389712226,0.08474823389712226
cat__subcategory_foodnews,-0.07793919602874663,0.07793919602874663
cat__subcategory_lifestylefamily,0.07450701878337031,0.07450701878337031
cat__subcategory_autossema,0.0737226795931249,0.0737226795931249
cat__subcategory_tv-golden-globes,-0.07040304292955465,0.07040304292955465
cat__subcategory_entertainment-books,-0.07038115529572606,0.07038115529572606
num__history_len,-0.07011170604894798,0.07011170604894798
cat__subcategory_lifestylediy,-0.06958998558135428,0.06958998558135428
cat__subcategory_financenews,0.06931362966122251,0.06931362966122251
num__same_subcategory_count,0.06628580812121349,0.06628580812121349
cat__subcategory_personalfinance,-0.06622897205505811,0.06622897205505811
cat__subcategory_health-cancer,0.06599621094708272,0.06599621094708272
cat__subcategory_causes,-0.06470262657590596,0.06470262657590596
cat__subcategory_autosmidsize,-0.06226569895809241,0.06226569895809241
